row_id,app_id,reg_num,released,vehicle_type,model_name,recording_date,fuel_type
3132,819153,410080247,2008,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/9/2020 0:00,petrol
3133,414585,6743044,2009,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/24/2013 0:00,petrol
3134,555300,6743044,2009,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/24/2013 0:00,petrol
3135,790548,6743044,2009,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/24/2013 0:00,petrol
3136,959567,6743044,2009,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/24/2013 0:00,petrol
3137,850656,611802590,2010,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,8/11/2021 0:00,petrol
3138,416721,1211499664,2010,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/29/2017 0:00,petrol
3139,726145,107110434,2011,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,4/22/2017 0:00,petrol
3140,643601,711138741,2011,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,6/29/2021 0:00,petrol
3141,778001,1011952644,2011,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,1/8/2020 0:00,petrol
3142,525989,26411862298,2011,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/3/2018 0:00,petrol
3143,626429,411950183,2011,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,8/18/2021 0:00,petrol
3144,553169,1211358903,2011,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,7/6/2021 0:00,petrol
3145,228615,110010019,1997,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,4/22/2019 0:00,petrol
3146,596135,110010019,1997,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,4/22/2019 0:00,petrol
3147,859085,909110583,1986,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,8/4/2014 0:00,petrol
3148,267542,208000103,1989,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,3/22/2018 0:00,petrol
3149,855612,110100163,1991,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,10/5/2010 0:00,petrol
3150,256756,110900042,1990,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,3/23/2018 0:00,petrol
3151,232209,212101070,1990,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/27/2013 0:00,petrol
3152,435079,212101070,1990,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/27/2013 0:00,petrol
3153,720672,207040041,1996,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,1/19/2018 0:00,petrol
3154,272877,810904540,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,11/19/2020 0:00,petrol
3155,283284,810904540,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,11/19/2020 0:00,petrol
3156,317350,810904540,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,11/19/2020 0:00,petrol
3157,238757,904080072,2002,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/23/2013 0:00,petrol
3158,873627,403080071,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,2/25/2020 0:00,petrol
3159,776553,811075463,2003,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,11/9/2019 0:00,petrol
3160,748501,305090208,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,5/19/2009 0:00,petrol
3161,851092,309070373,2004,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,12/6/2017 0:00,petrol
3162,248270,302970107,1996,ԹԵԹԵՎ ՄԱՐԴԱՏԱՐ,VAZ,5/22/2018 0:00,petrol
